,price,area,bath,room,parking,year,property_type,near_cc,near_school,near_parks,near_avenue,security,elevator,rest_area,pool,ranking
223,134648,62,2,2,0,2023,1,1,1,1,1,0,0,0,0,4.59
224,198108,141,3,3,1,2023,1,1,1,0,1,0,1,0,0,4.49
225,167067,77,2,2,0,2023,1,1,1,1,1,0,0,0,0,4.59
226,61891,32,2,3,0,2023,1,1,1,1,0,0,1,1,1,3.21
227,144594,68,2,2,0,2023,1,1,1,1,1,0,0,0,0,4.59
228,111891,60,2,2,0,2023,1,1,1,1,0,0,1,1,1,3.21
229,147148,72,2,2,0,2023,1,1,1,1,1,0,0,0,0,4.59
230,117567,69,2,2,0,2023,1,1,1,1,0,0,1,1,1,3.21
231,127229,54,2,3,0,2023,1,1,1,1,1,0,0,0,0,4.59
232,128810,56,2,3,0,2023,1,1,1,1,1,0,0,0,0,4.59
233,103297,40,2,3,0,2023,1,1,1,1,1,0,0,0,0,4.59
234,112094,43,2,3,0,2023,1,1,1,1,1,0,0,0,0,4.59
235,230000,92,3,3,1,2006,1,0,0,0,0,0,0,0,0,4.95
236,155000,81,3,3,0,2023,1,1,0,0,1,0,0,0,0,4.4
237,210672,76,2,3,0,2023,1,0,0,1,0,0,0,1,0,5.0
238,188513,90,2,3,1,2023,1,0,0,0,0,0,0,0,0,4.59
239,185000,114,3,3,1,1993,1,1,0,0,0,0,0,0,0,4.76
240,127027,68,2,2,0,2022,1,1,1,1,1,0,0,0,0,4.4
241,129000,90,2,3,1,1997,1,0,0,0,0,0,0,0,0,4.76
242,92469,45,2,3,0,2023,1,0,0,1,0,0,0,0,0,4.27
243,128343,67,2,3,0,2023,1,0,0,1,0,0,0,0,0,4.27
244,170262,61,2,2,0,2023,1,1,0,0,0,0,1,1,1,4.11
245,87648,73,2,3,0,2023,1,0,0,0,0,0,0,0,0,3.27
246,92469,57,2,2,0,2023,1,0,0,1,0,0,0,0,0,4.27
247,135000,75,2,2,1,1991,1,1,0,0,1,0,0,0,0,4.59
248,136388,40,2,3,0,2023,1,1,0,0,0,0,1,1,1,4.11
249,80567,69,2,3,0,2023,1,0,0,0,0,0,0,0,0,3.21
250,149500,85,2,2,0,2003,1,1,1,1,0,1,1,1,0,5.0
251,150000,89,3,3,0,2017,1,0,0,0,0,0,0,0,0,4.49
252,105263,61,2,3,1,2023,1,0,0,1,0,0,0,0,0,3.27
253,214048,76,2,3,0,2023,1,0,0,1,0,0,0,1,0,5.0
254,127715,79,2,3,1,2023,1,0,0,1,0,0,0,0,0,4.66
255,180155,66,2,2,0,2023,1,1,0,0,0,0,1,1,1,4.11
256,76405,63,2,3,0,2023,1,0,0,0,0,0,0,0,0,3.21
257,112375,68,2,3,1,2023,1,0,0,1,0,0,0,0,0,3.27
258,170000,80,2,2,0,2023,1,1,1,1,0,0,1,1,1,5.0
259,204836,117,2,2,0,2023,1,0,0,1,0,0,0,0,0,4.27
260,107120,40,2,3,0,2023,1,1,0,0,0,0,1,1,1,4.11
261,99945,80,2,3,0,2023,1,0,0,0,0,0,0,0,0,4.11
262,158000,66,2,2,0,2023,1,1,1,0,0,0,0,1,1,4.59
